customer_id,first_name,last_name,email,phone,street_address,city,state,zip_code,loyalty_tier,join_date
1,Brian,Valdez,brian.valdez24@gmail.com,581.808.0132x677,65133 Amanda Dam,Whitemouth,IA,10381,Platinum,2026-06-18
2,Brian,Gray,brian.gray387@outlook.com,582.208.1219x13619,7468 Moore Hill Apt. 098,Lake Leeton,OR,62994,Platinum,2025-04-05
3,Christopher,Sandoval,christopher.sandoval812@outlook.com,+1-638-442-5135,3534 Anderson Rue Suite 751,South Christineshire,CT,10103,Gold,2024-06-27
4,Martha,Warner,martha.warner526@gmail.com,634-487-4016x40052,841 Joseph Coves,West Juan,IL,94559,Silver,2025-10-11
5,Scott,Thornton,scott.thornton749@gmail.com,431.458.6923,12805 Russell Canyon,Michaelton,MH,47399,Gold,2026-05-17
6,Robert,White,robert.white248@yahoo.com,+1-636-454-1458x68501,3421 Brennan Walks Suite 337,Kevinbury,IN,03602,Gold,2025-02-03
7,Sydney,Baker,sydney.baker340@yahoo.com,001-360-688-3561x595,655 Obrien Pass,South Rachelborough,KS,06318,Platinum,2024-10-12
8,Kyle,Ortiz,kyle.ortiz625@gmail.com,969.495.7773,482 Robert Light Apt. 994,Kelleytown,ME,38107,Gold,2025-06-05
9,Christopher,Robertson,christopher.robertson39@outlook.com,220.516.3287,34332 Brandon Mountains Apt. 769,Lake Heather,NM,52884,Bronze,2026-07-12
10,Melinda,Bryant,melinda.bryant874@outlook.com,387-434-7143x455,889 Dodson Mills Suite 872,Colebury,MP,84080,Silver,2023-04-08
11,Jesse,Benson,jesse.benson210@yahoo.com,001-596-670-5466x88937,66587 Brown Village,Priceshire,UT,03061,Silver,2024-06-24
12,Todd,Price,todd.price994@outlook.com,975.256.4641,272 Rebecca Ramp Apt. 162,Whiteview,MS,43407,Silver,2025-10-23
13,Amber,Cooke,amber.cooke849@outlook.com,(699)812-4190,10033 Christine Garden Apt. 719,South Holly,WI,48852,Gold,2024-04-24
14,Shelly,Gonzalez,shelly.gonzalez905@gmail.com,916.857.2628x4987,49190 Patel Shore,Caseymouth,AL,55558,Platinum,2026-02-19
15,Jessica,Adams,jessica.adams746@yahoo.com,949-948-0831x36783,47379 Rogers Park,Hunterborough,MI,34363,Silver,2024-07-13
16,Laura,Davis,laura.davis826@gmail.com,001-574-544-3135x182,3495 Tran Key,Barajasside,MA,46613,Bronze,2025-10-07
17,Todd,Hardy,todd.hardy97@hotmail.com,310.394.7775x2047,34352 Smith Place Apt. 400,Heidiberg,SC,99170,Platinum,2024-04-30
18,Travis,Ray,travis.ray739@gmail.com,496-549-9091x3341,29413 Angela Mall,Port Alexandra,NV,58529,Bronze,2023-05-14
19,Andrea,Moore,andrea.moore622@yahoo.com,(642)910-2499,9740 Keith Haven Suite 134,South Danny,IN,85387,Silver,2023-02-26
20,Taylor,Torres,taylor.torres608@gmail.com,001-949-702-7874x29671,8877 Carly Meadows Suite 940,East Suzanneshire,OR,03220,Silver,2024-05-12
21,Mathew,Santiago,mathew.santiago505@yahoo.com,9879603859,6746 Shawn Island,Marcusfurt,VI,67950,Silver,2025-11-09
22,Brett,Adams,brett.adams415@outlook.com,412.874.8467x737,7710 Jennifer Inlet,New Rickybury,MP,15372,Silver,2023-06-09
23,Sandra,Romero,sandra.romero41@hotmail.com,(858)286-7533x963,46584 Justin Hills,Grimesmouth,ND,63984,Bronze,2023-12-24
24,Julie,Thornton,julie.thornton741@gmail.com,359-561-5865x780,2702 Kane Well Suite 187,Lake Douglasberg,CA,62038,Bronze,2025-04-23
25,Gabrielle,Mitchell,gabrielle.mitchell941@hotmail.com,855-562-3869x2221,161 Scott Square,Rebeccaton,MD,07856,Gold,2024-09-28
26,Roberta,Thomas,roberta.thomas399@gmail.com,(647)243-6713x69594,474 Rachel Mountain Suite 821,Landryshire,ME,84247,Platinum,2026-02-26
27,Dominique,Hill,dominique.hill984@hotmail.com,+1-504-470-9521x4562,743 Robinson Field,Ericaberg,SC,13236,Bronze,2025-12-20
28,Amber,Mata,amber.mata11@yahoo.com,754.596.5137x098,47451 Mccarty Divide Apt. 685,Port Ralphview,ND,16700,Silver,2025-05-19
29,Bryan,Colon,bryan.colon841@gmail.com,001-786-592-6179x640,612 Sophia Hollow Suite 113,South Shawn,TN,97905,Bronze,2024-07-05
30,Sean,Young,sean.young601@gmail.com,218.639.3352,58506 Lopez Crossing Suite 139,North Kristinbury,DC,74501,Gold,2026-04-11
31,Tracey,Huerta,tracey.huerta798@hotmail.com,001-258-991-7839x08470,10205 Brianna Brook Apt. 402,Foxland,NJ,59257,Bronze,2026-03-25
32,Richard,Parks,richard.parks563@yahoo.com,896.311.8367x36576,711 Franklin Circles Apt. 499,Oscarhaven,LA,59970,Bronze,2023-12-15
33,Ronald,Ortega,ronald.ortega251@hotmail.com,001-360-749-4519x83273,71111 Davis Streets Suite 280,Elizabethchester,MI,87708,Gold,2026-03-22
34,Angela,Wilson,angela.wilson484@hotmail.com,(896)812-0183,368 Chelsea Shoals Suite 024,Sandrastad,AL,24278,Gold,2024-07-21
35,Matthew,Wood,matthew.wood747@outlook.com,681.256.1497,910 Eric River Apt. 147,Tuckermouth,MT,36305,Bronze,2023-07-25
36,Randall,Greene,randall.greene984@hotmail.com,988.351.6060,43244 Wilson Parks,Thompsonfurt,ND,92732,Bronze,2026-04-17
37,Lawrence,Patterson,lawrence.patterson904@yahoo.com,(581)764-5352x1818,641 Smith Islands Apt. 975,South Meganbury,NE,77685,Platinum,2024-02-13
38,Jessica,Fuentes,jessica.fuentes377@outlook.com,001-397-999-5527,12432 Kathleen Shoal,East Stephaniefort,NH,99387,Silver,2024-07-03
39,Crystal,Hogan,crystal.hogan908@gmail.com,267.998.0793x59782,8147 Johnson Land,Chaseland,RI,78368,Bronze,2023-01-24
40,Lisa,Monroe,lisa.monroe319@gmail.com,(759)305-1518x64492,203 Ritter Pine,West Nathan,LA,51280,Bronze,2025-02-07
41,Elizabeth,Rangel,elizabeth.rangel892@outlook.com,(635)373-3221,629 Kyle Lane Suite 281,Romerotown,MN,40984,Bronze,2024-10-13
42,Kelli,Conley,kelli.conley553@outlook.com,+1-937-994-7383x47359,592 Moore Falls,Lake Samuel,MT,48250,Silver,2025-11-24
43,Juan,Reyes,juan.reyes237@hotmail.com,(861)737-5060,39240 Sawyer Plaza Apt. 814,Port Ethanmouth,MH,67787,Platinum,2023-08-18
44,Paul,Miller,paul.miller352@gmail.com,379.601.0432x8986,51522 Justin Village,Hortonberg,WV,92977,Silver,2023-08-21
45,Kevin,Williams,kevin.williams775@hotmail.com,296.821.8518,971 Mary Parks Apt. 893,West Ruben,RI,46745,Silver,2026-05-04
46,Theodore,Reid,theodore.reid175@yahoo.com,772.621.7043x030,0515 Jessica Road Apt. 952,West Amyburgh,MP,90243,Silver,2024-10-25
47,Raymond,Ochoa,raymond.ochoa622@yahoo.com,775.384.1616x9284,0345 Michelle Isle Suite 156,Paulfurt,MA,24987,Bronze,2022-12-19
48,Mark,Phillips,mark.phillips246@hotmail.com,001-220-429-7021x3556,627 West Stream Suite 964,North Emilyfurt,MN,67752,Gold,2025-07-06
49,Shannon,Watson,shannon.watson344@outlook.com,001-973-394-7312x172,92856 Banks Gateway Apt. 027,Mcintyreville,KS,34617,Platinum,2026-01-27
50,Evelyn,Bruce,evelyn.bruce79@gmail.com,470.358.9578,518 Vance Vista Apt. 258,North Tracie,WY,18703,Gold,2022-11-27
51,Kyle,Key,kyle.key957@gmail.com,(426)480-1824,669 David Island Apt. 778,Davidside,SC,77543,Gold,2023-12-31
52,Sarah,Perez,sarah.perez134@hotmail.com,690-601-0943x96907,43842 Mendez Course Apt. 992,Lake Claudia,MH,79817,Bronze,2024-09-05
53,John,Aguirre,john.aguirre850@outlook.com,(425)388-1537x1473,7102 Perry Mountain Apt. 592,Michellemouth,VA,45769,Bronze,2022-11-03
54,Kelly,Cruz,kelly.cruz797@outlook.com,695.200.4797,25953 Tyrone Passage Suite 747,North Sierrahaven,NH,32053,Silver,2026-03-25
